[2026-05-05 10:13:52] Returned: Fundamental of Multimedia
[2026-05-05 10:14:04] Returned: Clean Code
[2026-05-05 10:14:07] Returned: Data Structure
[2026-05-05 10:16:12] Borrowed: Effective Java
[2026-05-05 10:16:33] Returned: Effective Java
[2026-05-05 10:49:15] Borrowed: Computer System & Architecture
[2026-05-05 10:49:21] Borrowed: Clean Code
[2026-05-05 10:49:25] Returned: Clean Code
[2026-05-05 10:57:39] Returned: Computer System & Architecture
[2026-05-05 11:02:10] Borrowed: Clean Code
[2026-05-05 11:02:22] Returned: Clean Code
[2026-05-06 10:35:43] Borrowed: Multimedia World
[2026-05-11 14:32:32] Borrowed: Computer System & Architecture
[2026-05-11 14:32:45] Borrowed: Head First Design Patterns
[2026-05-11 14:32:49] Returned: Head First Design Patterns
[2026-05-11 14:32:58] Returned: Computer System & Architecture
[2026-05-11 14:33:00] Returned: Multimedia World
[2026-05-16 00:51:24] Borrowed: Head First Design Patterns
[2026-05-16 00:51:31] Borrowed: Computer System & Architecture
[2026-05-16 00:51:53] Returned: Computer System & Architecture
[2026-05-16 00:51:59] Returned: Head First Design Patterns
